accuracy,loss,val_accuracy,val_loss
0.8123888969421387,0.5171703696250916,0.878333330154419,0.3363450765609741
0.8739073872566223,0.34655117988586426,0.8884999752044678,0.2980981469154358
0.8925926089286804,0.2949824631214142,0.8946666717529297,0.2758159339427948
0.9031851887702942,0.26487016677856445,0.8993333578109741,0.26525869965553284
0.9109814763069153,0.24265731871128082,0.9071666598320007,0.24305713176727295
0.9187036752700806,0.2206866294145584,0.9096666574478149,0.24442337453365326
0.9237407445907593,0.20634403824806213,0.9125000238418579,0.23599469661712646
0.9295370578765869,0.18936972320079803,0.9143333435058594,0.23247477412223816
0.9326851963996887,0.17841848731040955,0.9136666655540466,0.23960037529468536
0.9368703961372375,0.16610325872898102,0.9133333563804626,0.2530420422554016
